propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,externalReference,newDevelopmentFinished
84542596,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/60/15/866671325.webp,30,1,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2000.0, 'priceDropValue': 800, 'priceDropPercentage': 40}}}",studio,rent,47.0,True,0,1,Amparo,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4081505,-3.6993734,False,https://www.idealista.com/inmueble/84542596/,"Estudio en alquiler – Centro de Madrid Excelente estudio de 47 m², de reciente construcción y con un diseño de arquitectura minimalista, ubicado en pleno centro de Madrid. El edificio cuenta con zonas comunes muy cuidadas: -En la planta baja, un espacio acogedor con bancos y arenero infantil. -En la azotea, una piscina con solárium, terraza con vistas panorámicas a la ciudad y un salón social. También disponemos de plazas de garaje en alquiler en el mismo edificio. La vivienda se encuentra excelentemente comunicada, a pocos minutos de las estaciones de Atocha y Embajadores, y con una amplia red de autobuses y servicios en las inmediaciones. El estudio cuenta con: -Cocina amueblada y equipada con electrodomésticos (incluye microondas y lavavajillas). -Salón amplio, con dos armarios empotrados totalmente vestidos con cajoneras y una cama abatible. -Sistema de climatización por suelo radiante con opción de frío o calor. -Carpintería lacada en blanco, que aporta gran luminosidad y sensación de amplitud. El edificio dispone de servicio de portería. Condiciones de alquiler: -Contrato anual, renovable tácitamente cada año. - 1 mes de fianza y 2 meses depósito como garantía. Visitas: El estudio puede visitarse con facilidad. Lo enseña el portero con cita previa en horario de: - Lunes a viernes: de 9:00 a 14:00 h y de 16:00 a 18:00 h - Sábados: de 9:00 a 13:00 h ¡NO PIERTDA ESTA OPORTUNIDAD!",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 150.0}",26.0,{},"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Estudio en Amparo'}",True,False,False,False,{},[],False,False,False,,
109713647,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/f8/b6/1383284598.webp,25,,1000.0,"{'price': {'amount': 1000.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1400.0, 'priceDropValue': 400, 'priceDropPercentage': 29}}}",flat,rent,51.0,True,1,1,plaza de Tirso de Molina,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4107861,-3.705245,False,https://www.idealista.com/inmueble/109713647/,"RESERVAS Y INQUIETUDES Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"". TÉRMINOS Y CONDICIONES DE ALOJAMIENTO: - Fecha de disponibilidad: 02/12/2025 - Duración mínima del alquiler: 27 días - Máximo de huéspedes: 2 - Todas las facturas incluidas: No, para obtener más información visite el sitio web - Adicional:  - Mascotas No Permitido  - Fumar No Permitido DETALLES DE LA PROPIEDAD MODERNOS APARTAMENTO EN PLAZA TIRSO DE MOLINA  - Ubicación: Ubicado on Lavapiés-Embajadores (Centro) en Madrid con una variedad de lugares para cenar, tiendas esenciales y cosas que hacer, con fácil acceso al transporte público. 1 habitaciones en Apartment con 1 baños. Características  - Wifi  - Aire acondicionado  - Área exterior  - Ascensor  - Horno  - Microondas  - Lavadora SOBRE UNIPLACES Tu Buscador de Hogares de Confianza Como plataforma en línea pionera, Uniplaces conecta a individuos, ya sean estudiantes, profesionales o familias, con una amplia gama de alojamientos en alquiler. Nuestro compromiso va más allá de las listas; verificamos cada propiedad para asegurarnos de que cumpla con nuestros estrictos criterios de comodidad y conveniencia. Elija Uniplaces para un viaje de alquiler suave, confiable y con una buena relación calidad-precio.",False,good,False,True,,20.0,{},{'typology': 'flat'},"{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Piso en plaza de Tirso de Molina'}",False,False,False,False,{},[],False,False,False,660897,
109566618,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/ed/ee/1378632307.webp,51,bj,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2400.0, 'priceDropValue': 700, 'priceDropPercentage': 29}}}",flat,rent,75.0,False,2,1,calle de Modesto Lafuente,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4398237,-3.6973345,False,https://www.idealista.com/inmueble/109566618/,"Ref. MD-3095 descubre más viviendas dentro de EMBASSY PROPERTIES Distribución: · Hall de entrada que distribuye el acceso a las distintas estancias de la vivienda. · Salón-comedor en espacio diáfano, muy luminoso gracias a sus grandes ventanales al exterior. · Cocina independiente, completamente equipada con todos los electrodomésticos, ventilación natural a través de sus ventanas y zona de lavandería integrada. · Un (1) dormitorio doble con armarios empotrados y ventanas al exterior. · Un (1) dormitorio doble con armarios empotrados y ventanas al exterior. · Un (1) baño completo en el pasillo. · Finca con servicio de conserjería. **Memoria de calidades** · Suelos de tarima maciza en toda la vivienda y porcelánicos en los baños. · Carpintería exterior renovada con acristalamiento de rotura de puente térmico, que ofrece mayor aislamiento frente al frío y al calor. · Luminarias Led.",False,good,False,True,,23.0,{},{'typology': 'flat'},"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso en calle de Modesto Lafuente'}",False,False,False,False,{},[],False,False,False,MD-3095,
109832747,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/7b/e2/1386997418.webp,9,3,891.0,"{'price': {'amount': 891.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1217.0, 'priceDropValue': 326, 'priceDropPercentage': 27}}}",flat,rent,65.0,True,2,1,"calle de Seco, 13",Madrid,Madrid,Retiro,es,Adelfas,40.3974414,-3.6730811,True,https://www.idealista.com/obra-nueva/109832747/,"Vivienda de 2 dormitorios con garaje y trastero de obra nueva URVA Adelfas, en régimen de Alquiler asequible. Ideal para familias o personas que buscan espacio y comodidad. Cuenta con salón, 1 baño, cocina equipada con electrodomésticos, garaje y trastero incluidos. Zonas comunes: gimnasio equipado, sala multiusos, jardines  La urbanización es cerrada con ascensor, portal accesible. Requisitos de acceso: •Los ingresos anuales de la unidad familiar o unidad de convivencia a la que pertenezca no supera el “límite máximo de ingresos familiares”  •Estar empadronado en el municipio de Madrid durante un año ininterrumpido o desempeño de su actividad laboral principal de forma ininterrumpida durante dos años en un centro de trabajo ubicado en el municipio de Madrid. No será válido si no es dentro del municipio de Madrid. •Deberán acreditar que no ostentan la propiedad de vivienda alguna en el término Municipal de Madrid. Esto podrán encontrarlo en la web Registro de la propiedad. REQUISITOS DE ACCESO:   INGRESOS MÁXIMOS DE LA UNIDAD FAMILIAR: 7,35 veces IPREM (unidad familiar de 1 ó 2 miembros 77.175 €/brutos anuales)  (*Para el cálculo del referido límite máximo de ingresos se tendrá en cuenta el importe del IPREM 2024).   VINCULACIÓN TERRITORIAL CON EL MUNICIPIO DE MADRID:  Será requisito para la formalización del contrato de arrendamiento que la parte arrendataria acredite vinculación con el municipio de Madrid, entendiéndose cumplido este requisito cuando concurra al menos una de las siguientes circunstancias:  a)-Estar empadronado en el municipio de Madrid durante un año ininterrumpido e inmediatamente anterior a la fecha del contrato de arrendamiento o haberlo estado al menos tres años dentro de los cinco anteriores a la fecha del contrato.  b)-Desempeño de su actividad laboral principal de forma ininterrumpida en un centro de trabajo ubicado en el municipio de Madrid durante los dos años anteriores a la fecha del contrato de arrendamiento.   TITULARIDAD DE VIVIENDA TÉRMINO MUNICIPAL DE MADRID.  Las personas físicas que opten al arrendamiento de las viviendas construidas y de las plazas de aparcamiento de dotación obligatoria deberán acreditar que no ostentan la propiedad de vivienda alguna en el término Municipal de Madrid.   OTROS REQUISITOS:  El arrendatario o los miembros de la unidad familiar o de convivencia solo podrán ser arrendatarios, a la vez, de una vivienda en el conjunto de parcelas objeto de licitación o de parcelas promovidas o pertenecientes a la EMVS. Únicamente podrán ser arrendatarios de las viviendas y de las plazas de aparcamiento de dotación obligatoria las personas físicas.  *Todos los requisitos anteriores deberán cumplirse para la formalización de los contratos de arrendamiento la fecha del requerimiento de acreditación documental que se realizará por parte del solicitante una vez realizado el registro en la Plataforma de Alkira.",False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{},{'typology': 'flat'},"{'subtitle': 'Adelfas, Madrid', 'title': 'Piso en calle de Seco, 13'}",False,False,False,False,{},[],False,False,False,,True
109552860,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/d7/5d/1378192389.webp,28,4,3000.0,"{'price': {'amount': 3000.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 4100.0, 'priceDropValue': 1100, 'priceDropPercentage': 27}}}",duplex,rent,200.0,True,3,2,"calle de la Palma, 9",Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4261177,-3.7023582,True,https://www.idealista.com/inmueble/109552860/,"PRECIO DE OFERTA LAST MINUTE. IMPORTANTE SOLO DISPONIBLE NOVIEMBRE Y DICIEMBRE DE 2025 PORQUE EN ENERO ENTRAN OTROS INQUILINOS 1500 EUROS MAS IVA DE HONORARIOS Imagina despertar cada día en un oasis de calma… ¡en pleno corazón de Malasaña! Esta joya escondida combina el alma vibrante del barrio con la serenidad de unas vistas privadas a tu propio jardín, un privilegio casi imposible de encontrar en esta zona. Con tres dormitorios, dos baños, piscina y un encantador espacio exterior, este lugar no solo es cómodo: es *teatral*, inspirador, único. Ideal para quienes buscan una experiencia residencial de alto nivel, sin renunciar al ritmo urbano. Disponible por temporadas de hasta 11 meses (para estancias más largas, consúltanos sin compromiso). Honorarios: un mes. ¿Listo para vivir Malasaña como nunca antes? Escríbenos hoy mismo y reserva tu visita. Esta oportunidad no estará libre por mucho tiempo.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 120.0}",15.0,{},"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Dúplex en calle de la Palma, 9'}",False,False,False,False,{},[],False,False,False,pa7-atico-cfl,
109688048,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/37/2f/1382492744.webp,56,3,2600.0,"{'price': {'amount': 2600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 3500.0, 'priceDropValue': 900, 'priceDropPercentage': 26}}}",flat,rent,181.0,True,4,3,calle del Mirador de la Reina s/n,Madrid,Madrid,Fuencarral,es,Arroyo del Fresno,40.4892442,-3.7239182,True,https://www.idealista.com/inmueble/109688048/,"VALUE GRUPO INMOBILIARIO ofrece en alquiler un piso único, con calidades de lujo, situado en una de las mejores avenidas de Arroyo del Fresno. Se trata de una vivienda de amplios espacios que cuenta con cuatro dormitorios, tres baños, un salón-comedor con terraza, cocina independiente y terraza tendedero. Las habitaciones disponen de armarios empotrados y destacan por su excelente tamaño y luminosidad, ya que todas son exteriores y reciben una magnífica luz natural. Los tres baños son completos: dos de ellos con plato de ducha y uno con bañera, ideal para los más pequeños. Cuentan con toalleros calefactores, espejos de gran formato, azulejos de primera calidad y, en el caso del baño en suite, doble lavabo, aportando comodidad y amplitud. El salón-comedor ofrece un espacio magnífico para disfrutar en familia, con acceso a una terraza con vistas abiertas que inunda de luz natural toda la estancia. La cocina, completamente equipada con electrodomésticos, dispone de una gran superficie de trabajo con encimeras a ambos lados, además de espacio suficiente para una mesa de comedor diario para cuatro personas. Cuenta también con una terraza tendedero independiente destinada a la zona de lavandería. La vivienda destaca por sus calidades premium: suelos de madera natural, armarios totalmente revestidos, ventanas de aluminio lacado en negro con rotura de puente térmico, y se incluye en el precio dos amplias plazas de garaje y trastero. La urbanización privada ofrece servicios exclusivos: vigilancia 24 horas, gimnasio completamente equipado, pista de pádel, sala de eventos, cuarto de bicicletas, zonas ajardinadas, área infantil y servicio de conserjería. Ubicada en Arroyo del Fresno, junto a Mirasierra, en la prestigiosa Avenida del Ventisquero de la Condesa, la vivienda se encuentra en una zona residencial tranquila y consolidada, rodeada de todos los servicios necesarios para el día a día. A pocos minutos a pie se encuentran supermercados, farmacias, restaurantes y comercios de proximidad en calles como Cerro Minguete, Senda del Infante y la propia Ventisquero de la Condesa. Además, el Hospital Ruber Internacional, la Clínica CEMTRO y otros centros médicos de referencia están muy próximos. En cuanto a comunicaciones, la zona dispone de excelentes conexiones con el resto de Madrid gracias a las estaciones de metro Mirasierra (L9) y Arroyofresno (L7), además de una rápida salida a las principales vías de circunvalación M-30y M-40. La oferta educativa también es sobresaliente, con prestigiosos centros como La Salle, Virgen de Mirasierra, y los colegios El Prado y Montealto, todos situados en las inmediaciones. NO TE PIERDAS ESTA GRAN OPORTUNIDAD Y VISITA ESTA MAGNIFICA PROPIEDAD…  ¡PUEDE SER TU PROXIMO HOGAR, SOLICITA UNA VISITA CON UNO DE NUESTROS ASESORES!",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{},{'typology': 'flat'},"{'subtitle': 'Arroyo del Fresno, Madrid', 'title': 'Piso en calle del Mirador de la Reina s/n'}",False,False,False,False,{},[],False,False,False,,
109803648,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/34/bd/1386123877.webp,19,2,1800.0,"{'price': {'amount': 1800.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2400.0, 'priceDropValue': 600, 'priceDropPercentage': 25}}}",flat,rent,120.0,True,3,2,calle de Andorra,Madrid,Madrid,Hortaleza,es,Canillas,40.4629345,-3.6425112,False,https://www.idealista.com/inmueble/109803648/,"� Piso en Calle de Andorra – Hortaleza (Madrid) 2.400 €/mes | 120 m² | 3 dorm. | 2 baños | Planta 2ª exterior con ascensor Amplio y luminoso piso totalmente exterior, rodeado de zonas verdes. �️ Salón-comedor con grandes ventanales y aire acondicionado. � Cocina independiente equipada con todos los electrodomésticos. �️ Tres dormitorios con armarios empotrados, uno con baño en suite. � Calefacción central, sistema de purificación de aire y acceso adaptado. � A 2 min del Metro Esperanza (L4) y líneas 120 y 122. Zona tranquila, ideal para familias o quienes buscan confort y buena conexión. � Contacta con Valtier y encuentra tu próximo hogar en Madrid. Tu hogar de ensueño en las mejores ubicaciones. En nuestra inmobiliaria boutique, seleccionamos residencias únicas para clientes únicos como tú.",False,good,False,True,,15.0,{},{'typology': 'flat'},"{'subtitle': 'Canillas, Madrid', 'title': 'Piso en calle de Andorra'}",False,False,False,False,{},[],False,False,False,3068,
109656977,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f6/0c/fd/1382134166.webp,26,1,899.0,"{'price': {'amount': 899.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1199.0, 'priceDropValue': 300, 'priceDropPercentage': 25}}}",studio,rent,32.0,False,0,1,"calle de Pegaso, 30",Madrid,Madrid,Hortaleza,es,Canillas,40.4649534,-3.6492825,True,https://www.idealista.com/inmueble/109656977/,"ÚLTIMOS DOS ESTUDIOS DISPONIBLES! SIN COMISION DE AGENCIA � Loft en Coliving – Calle Pegaso (Madrid) 899 €/mes – todo incluido Vive con todas las comodidades en este loft dúplex totalmente amueblado, dentro de un moderno coliving en la calle Pegaso. Disfruta de tu propio espacio privado con baño y cocina, además de amplias zonas comunes diseñadas para convivir, trabajar y relajarte. �️ Tu estudio privado * 30 m² distribuidos en dos plantas. * Zona de estar con sofá, escritorio, silla, mesa auxiliar y aire acondicionado (frío/calor). * Baño completo y cocina equipada con menaje y electrodomésticos. * Cama doble en altillo y amplio armario empotrado. * Limpieza semanal del estudio incluida. * Totalmente amueblado y listo para entrar a vivir. � Zonas comunes premium Más de 80 m² de espacios compartidos para tu comodidad y bienestar: * Cocina completamente equipada con:  * 3 vitrocerámicas de 4 fuegos.  * Neveras con cajones individuales y acceso por tarjeta para cada estudio.  * 3 hornos, 3 microondas y un congelador.  * Lavavajillas, cafeteras de varios tipos, tostadoras, batidoras y todo el menaje necesario. * Zona de coworking y socialización. * Lavandería. * Ambiente joven, internacional y tranquilo. � Todo incluido en el precio (para parejas, 200€ mas al mes) * Suministros (agua, luz, calefacción y aire acondicionado). * Internet de alta velocidad. * Limpieza semanal del estudio. * Limpieza y mantenimiento de zonas comunes. * Asistencia técnica. � Ubicación Situado en una zona residencial tranquila y perfectamente comunicada: * A 5 minutos andando del metro Pinar del Rey. * A 10 minutos andando de Arturo Soria. * Zona con comercios, supermercados, bancos, gimnasios y servicios. * Salida directa a la M-30 y M-40, con fácil aparcamiento en la zona.",True,good,False,True,,28.0,{},"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Canillas, Madrid', 'title': 'Estudio en calle de Pegaso, 30'}",False,False,False,False,{},[],False,False,False,,
108741389,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/1f/1c/1353769528.webp,1,5,12000.0,"{'price': {'amount': 12000.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 15500.0, 'priceDropValue': 3500, 'priceDropPercentage': 23}}}",flat,rent,180.0,True,2,2,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,40.4128326,-3.6890616,False,https://www.idealista.com/inmueble/108741389/,"Espectacular piso ubicado en una finca clásica, esta excepcional vivienda combina el encanto de la arquitectura histórica con las comodidades más avanzadas. Situada en una calle tranquila del prestigioso barrio de Jerónimos, se encuentra entre dos de los lugares más emblemáticos de Madrid: el Parque del Retiro y el Museo del Prado. Cualquier tipo de consulta y para poder ver el inmueble, no dudes en ponerte en contacto.",False,good,False,True,,67.0,{},{'typology': 'flat'},"{'subtitle': 'Jerónimos, Madrid', 'title': 'Piso'}",False,False,False,False,{},[],False,False,False,,
90630996,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/c1/2c/1385351615.webp,7,bj,950.0,"{'price': {'amount': 950.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 250, 'priceDropPercentage': 21}}}",studio,rent,38.0,True,0,1,Barrio Simancas,Madrid,Madrid,San Blas,es,Simancas,40.4391473,-3.6328533,False,https://www.idealista.com/inmueble/90630996/,"MAD Housing alquila estupendo estudio ideal para una pareja, en la zona de Ciudad Lineal / Madrid. El estudio está completamente amueblado y cuenta con sofá, división de armario para la habitación con cama doble, cocina equipada y baño independiente con plato de ducha. El piso queda en planta calle exterior, completamente reformado y con altas calidades. Cercano a muchos comercios de la zona y línea de buses y metro que conectan con el centro de la ciudad. A pocos minutos caminando del metro ciudad lineal. Renta: 950 euros, gastos de luz, gas y agua aparte TAMBIÉN SE ATIENDE VÍA WHATSAPP SEIS TRES TRES DOS TRES TRES CERO SIETE OCHO Ven a Visitarlo!",False,good,False,False,,25.0,{},"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Simancas, Madrid', 'title': 'Estudio'}",False,False,False,False,{},[],False,False,False,,
